,province,red_wine_counts,latitude,longtitude
91,Leyda Valley,38,-33.6131574,-71.4501843
92,Upper Galilee,38,33.1639839,35.6314191
93,Vinho Verde,38,41.8184,-8.4155
94,Valle de Guadalupe,37,32.0956281,-116.572572
95,Ribatejo,36,41.1598757,-73.863523
96,Lontué Valley,36,-35.0567954,-71.2688602
97,Dealu Mare,36,45.1638854,25.4474606
98,Loncomilla Valley,33,-35.6778298,-71.7681764
99,Thracian Valley,33,42.044456,25.602945
100,Pennsylvania,32,41.2033216,-77.1945247
101,Bío Bío Valley,32,-37.4464428,-72.1416132
102,Moldova,32,47.411631,28.369885
103,Rheinhessen,31,38.00825,-122.5760652
104,Drama,29,32.986072,-96.806292
105,Tasmania,28,-41.4545196,145.9706647
106,Wellington,27,-41.2864603,174.776236
107,Setubal,26,38.5254047,-8.8941
108,San Antonio,25,29.4241219,-98.4936282
109,Elqui Valley,25,-29.9533195,-71.3394699
110,Ribatejano,24,39.2333298,-8.6833296
111,Crete,24,35.240117,24.8092691
112,Spanish Islands,24,39.3587759,2.7356328
113,Neusiedlersee-Hügelland,24,47.8346493,16.6663867
114,Vinho Espumante de Qualidade,24,41.734759,-8.555886
115,Vienna,23,48.2081743,16.3738189
116,Palmela,22,38.569441,-8.9016937
117,Spain Other,22,40.4272595,-3.6812251
118,Puente Alto,22,-33.6186082,-70.5906057
119,Franschhoek,22,-33.8974833,19.1523292
120,Texas,21,31.9685988,-99.9018131
121,Bekaa Valley,21,34.008889,36.145278
122,Italy Other,20,45.464815,9.1930771
123,Beira Interior,20,40.277859,-7.508983
124,Galil,20,45.073821,-93.1837324
125,Neusiedlersee,20,47.8650427,16.7775594
126,Champagne,20,30.2034756,-92.0168981
127,Elgin,19,42.0354084,-88.2825668
128,Canelones,18,-34.5291043,-56.2873482
129,Durbanville,18,-33.8275335,18.6526846
130,Colorado,18,39.5500507,-105.7820674
131,Waipara,18,-43.0548342,172.7612505
132,Beiras,17,43.6820204,-79.4663498
133,Canterbury,17,51.280233,1.0789089
134,Uruguay,17,-32.522779,-55.765835
135,Missouri,17,37.9642529,-91.8318334
136,Arizona,16,34.0489281,-111.0937311
137,Donauland,16,48.29972,16.56667
138,North Carolina,15,35.7595731,-79.0192997
139,Terras do Sado,15,38.5243988,-8.8881998
140,Pirque,15,-33.6874736,-70.5883812
141,America,14,37.09024,-95.712891
142,Halkidiki,14,40.3694997,23.287085
143,Macedonia,14,41.608635,21.745275
144,Ontario,14,51.253775,-85.323214
145,Andalucia,14,37.5442706,-4.7277528
146,Apalta,13,42.7380918,-73.6708523
